SNo,Date,Voucher No,Branch,Party,Product,Net Amount,Division
965,17-04-2019,SI-SYV 2,ANDHRA,LAKSHMI SRINIVASA AGENCY,SYM DIAMOND 41DB WITH TROLLEY,"30,000.00",SYMPHONY
966,17-04-2019,TO-SI-ONG 1,ONGOLE,SRI RADHAKRISHNA AGENCIES(GURUNADAM DARSI),STORM BODY,"40,300.00",CVCRM
967,17-04-2019,TO-SI-ONG 1,ONGOLE,SRI RADHAKRISHNA AGENCIES(GURUNADAM DARSI),BLADE 16 PL,"2,400.00",SERVICE
968,17-04-2019,TP-SI-MFGP 35,PONNUR,ANWAR HOME NEEDS,DESERT AIR COOLER,"9,000.00",CVCRM
969,17-04-2019,TP-SI-MFGP 35,PONNUR,ANWAR HOME NEEDS,JUMBO AIR COOLER,"3,050.00",CVCRM
970,17-04-2019,TP-SI-MFGP 36,PONNUR,MYVA DIGITAL/PONNUR,SAFARI AIR COOLER,"24,800.00",CVCRM
971,17-04-2019,TP-SI-P 10,PONNUR,RAFI ELECTRONICS,DESERT AIR COOLER,"4,500.00",CVCRM
972,17-04-2019,TP-SI-P 10,PONNUR,RAFI ELECTRONICS,SAFARI AIR COOLER,"12,800.00",CVCRM
973,17-04-2019,TP-SI-P 10,PONNUR,RAFI ELECTRONICS,JUMBO AIR COOLER,"6,100.00",CVCRM
974,18-04-2019,CSI-ONG 17,ANDHRA,CASH ACCOUNT NANO,TYPHOON AIR COOLER,"2,000.00",CVCRM
975,18-04-2019,CSI-ONG 18,ANDHRA,CASH ACCOUNT NANO,TYPHOON AIR COOLER,"4,400.00",CVCRM
976,18-04-2019,SI-CBO 50,ANDHRA,MURALI ELECTRONICS,AIRCOOLER,"53,100.00",CVCRM
977,18-04-2019,SI-CBO 51,ANDHRA,VIJAYALAKSHMI ELECTRONICS,AIRCOOLER,"24,000.00",CVCRM
978,18-04-2019,SI-CBO 52,ANDHRA,GOWTHAM ENTERPRISES,AIRCOOLER PLASTIC BODYS,"96,000.00",SKYZEN
979,18-04-2019,SI-CBO 53,ANDHRA,SRI VENKATA SIVA SAI FURNITURES,AIRCOOLER,"20,000.00",CVCRM
980,18-04-2019,SI-CCBO 50,ONGOLE,MURALI ELECTRONICS,SAFARI WHITE AIR COOLER,"13,230.00",CVCRM
981,18-04-2019,SI-CCBO 50,ONGOLE,MURALI ELECTRONICS,STORM WHITE AIR COOLER,"41,170.00",CVCRM
982,18-04-2019,SI-CCBO 51,ONGOLE,VIJAYALAKSHMI ELECTRONICS,SNOW COOL WHITE AIR COOLER,"18,000.00",CVCRM
983,18-04-2019,SI-CCBO 51,ONGOLE,VIJAYALAKSHMI ELECTRONICS,TAX FOR COOLERS,"3,660.00",CVCRM
984,18-04-2019,SI-CCBO 51,ONGOLE,VIJAYALAKSHMI ELECTRONICS,SNOW COOL WHITE AIR COOLER,"42,000.00",CVCRM
985,18-04-2019,SI-CCBO 52,ONGOLE,GOWTHAM ENTERPRISES,STORM BODY,"90,000.00",CVCRM
986,18-04-2019,SI-CCBO 52,ONGOLE,GOWTHAM ENTERPRISES,SPARES(COOLERS),1.20,CVCRM
987,18-04-2019,SI-CCBO 52,ONGOLE,GOWTHAM ENTERPRISES,TAX FOR COOLERS,"14,640.00",CVCRM
988,18-04-2019,SI-CCBO 52,ONGOLE,GOWTHAM ENTERPRISES,CORRUGATED BOXES,"6,000.00",SKYZEN
989,18-04-2019,SI-CCBO 52,ONGOLE,GOWTHAM ENTERPRISES,,-0.20,SKYZEN
990,18-04-2019,SI-CCBO 53,ONGOLE,SRI VENKATA SIVA SAI FURNITURES,SAFARI AIR COOLER,"13,000.00",CVCRM
991,18-04-2019,SI-CCBO 53,ONGOLE,SRI VENKATA SIVA SAI FURNITURES,SAFARI AIR COOLER,"33,000.00",CVCRM
992,18-04-2019,SI-CCBO 53,ONGOLE,SRI VENKATA SIVA SAI FURNITURES,TAX FOR COOLERS,"3,000.00",CVCRM
993,18-04-2019,SI-CCBO 49 1,ONGOLE,VIJAYALAKSHMI ELECTRONICS & HOME APPLIENCES,SNOW COOL WHITE AIR COOLER,"86,400.00",CVCRM
994,18-04-2019,SI-H 11,TELANGANA,NAGA SAI HOME APPLIANCE,TYPHOON AIR COOLER,"40,120.00",CVCRM
995,18-04-2019,SI-H 11,TELANGANA,NAGA SAI HOME APPLIANCE,SNOW COOL WHITE AIR COOLER,"8,732.00",CVCRM
996,18-04-2019,SI-KSV 17,ANDHRA,A P FURNITURE MALL,KEN DOUBLE COOL,"22,704.00",KENSTAR
997,18-04-2019,SI-KSV 18,ANDHRA,RAMESH MADHIRA,KEN TURBOCOOL DX REMOTE,"38,795.00",KENSTAR
998,18-04-2019,SI-KSV 19,ANDHRA,SRINIVAS MADHIRA,KEN TURBOCOOL DX REMOTE,"38,795.00",KENSTAR
999,18-04-2019,SI-KSV 20,ANDHRA,WORLD FURNITURE & ELECTRONICS,KEN DOUBLE COOL,"109,000.00",KENSTAR
1000,18-04-2019,SI-P 11,ANDHRA,MYVA DIGITAL/PONNUR,AIRCOOLER,"20,000.00",CVCRM
1001,18-04-2019,SI-P 12,ANDHRA,KARIMA ELECTRICAL WORKS,AIRCOOLER PLASTIC BODYS,"4,200.00",SKYZEN
1002,18-04-2019,SI-P 13,ANDHRA,GANESH ENTERPRISES,AIRCOOLER PLASTIC BODYS,"8,500.00",SKYZEN
1003,18-04-2019,SI-P 14,ANDHRA,SAIRAM ENTERPRISES,AIRCOOLER,"9,000.00",CVCRM
1004,18-04-2019,SI-P 15,ANDHRA,ANWAR HOME NEEDS,AIRCOOLER PLASTIC BODYS,"15,300.00",SKYZEN
1005,18-04-2019,SI-P 16,ANDHRA,KARIMA ELECTRICAL WORKS,AIRCOOLER PLASTIC BODYS,"2,250.00",SKYZEN
1006,18-04-2019,SI-P 17,ANDHRA,SAI TEJA ELECTRONICS,AIRCOOLER,"10,000.00",CVCRM
1007,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,SKY Super 5000,"27,082.75",SKYZEN
1008,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,SKY Thunder Cool 18AL,"36,825.30",SKYZEN
1009,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,SKY Vibrant 18AL /HPL,"24,554.20",SKYZEN
1010,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,SKY Smart Cool INV-R-H+USB,"41,172.75",SKYZEN
1011,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,SKY Hippo Chill 4500,"52,105.50",SKYZEN
1012,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,SKY Vibrant 18AL/HPL -H,"13,475.10",SKYZEN
1013,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,SKY Super Cool 16AL,"5,547.55",SKYZEN
1014,18-04-2019,SI-SCH 30,TELANGANA,VASAVI TIME VISION,,-0.15,SKYZEN
1015,18-04-2019,SI-SCH 31,TELANGANA,RK DIGITAL SHOPPY,SKY Smart Cool 18ALR LCD-H +USB,"44,976.50",SKYZEN
1016,18-04-2019,SI-SCH 31,TELANGANA,RK DIGITAL SHOPPY,SKY Smart Cool INV-R-H+USB,"45,806.50",SKYZEN
1017,18-04-2019,SI-SCH 31,TELANGANA,RK DIGITAL SHOPPY,SKY VIBRANT 5000HCR,"32,645.20",SKYZEN
1018,18-04-2019,SI-SCH 31,TELANGANA,RK DIGITAL SHOPPY,SKY Smile Blower,"10,504.60",SKYZEN
1019,18-04-2019,SI-SCH 31,TELANGANA,RK DIGITAL SHOPPY,SKY MINI CUTE,"8,237.20",SKYZEN
1020,18-04-2019,SI-SCH 31,TELANGANA,RK DIGITAL SHOPPY,SKY Thunder Cool 18AL,"42,015.00",SKYZEN
1021,18-04-2019,SI-SCH 32,TELANGANA,SRI SAI MARK ENTERPRISES,SKY Smart Cool 18ALR LCD-H +USB,"18,668.00",SKYZEN
1022,18-04-2019,SI-SCH 32,TELANGANA,SRI SAI MARK ENTERPRISES,SKY Thunder Cool 18AL,"14,806.00",SKYZEN
1023,18-04-2019,SI-SCH 32,TELANGANA,SRI SAI MARK ENTERPRISES,SKY Super Cool 16AL,"13,626.00",SKYZEN
1024,18-04-2019,SI-SCH 33,TELANGANA,CANCEL DEALER,CANCEL PRODUCT,0.01,SERVICE
1025,18-04-2019,SI-SCH 33,TELANGANA,CANCEL DEALER,,-0.01,SKYZEN
1026,18-04-2019,SI-SCH 34,TELANGANA,LAXMI AUDIOS,SKY Super 5000,"41,895.00",SKYZEN
1027,18-04-2019,SI-SCH 35,TELANGANA,MVV ENTERPRISES,SKY Super 5000,"23,046.00",SKYZEN
1028,18-04-2019,SI-SCH 35,TELANGANA,MVV ENTERPRISES,SKY Hippo Chill 4500,"22,428.00",SKYZEN
1029,18-04-2019,SI-SCH 35,TELANGANA,MVV ENTERPRISES,SKY Vibrant 18AL/HPL -H,"26,310.00",SKYZEN
1030,18-04-2019,SI-SCH 35,TELANGANA,MVV ENTERPRISES,SKY Smart Cool 18ALR LCD-H +USB,"31,002.00",SKYZEN
1031,18-04-2019,SI-SCO 22,ANDHRA,P M RAO AND ASSOCIATES,SKY Smart Cool 18ALR-H,"8,200.00",SKYZEN
1032,18-04-2019,SI-SCO 23,ANDHRA,SURYA ELECTRONICS,SKY Smile Blower,"153,504.00",SKYZEN
1033,18-04-2019,SI-SCV 29,ANDHRA,GOPI KRISHNA ELE,SKY INDUSTRIAL COOLER 30 INCH,"10,000.00",SKYZEN
1034,18-04-2019,SI-SCV 30,ANDHRA,SWAMY ENTER PRISES,SKY Hippo Chill 4500,"6,787.00",SKYZEN
1035,18-04-2019,SI-SCV 30,ANDHRA,SWAMY ENTER PRISES,SKY Smart Cool 18AL,"7,700.00",SKYZEN
1036,18-04-2019,SI-SCV 30,ANDHRA,SWAMY ENTER PRISES,SKY Super 5000,"7,200.00",SKYZEN
1037,18-04-2019,SI-SCV 30,ANDHRA,SWAMY ENTER PRISES,SKY Vibrant 18AL /HPL,"7,800.00",SKYZEN
1038,18-04-2019,SI-SCV 30,ANDHRA,SWAMY ENTER PRISES,SKY MINI CUTE,"3,400.00",SKYZEN
1039,18-04-2019,SI-SCV 30,ANDHRA,SWAMY ENTER PRISES,Mini Cute Trolley,250.00,SKYZEN
1040,18-04-2019,SI-SCV 31,ANDHRA,PVR FURNITURE & HOME NEEDS,SKY Hippo Chill 4500,"13,594.00",SKYZEN
1041,18-04-2019,SI-SCV 31,ANDHRA,PVR FURNITURE & HOME NEEDS,SKY Vibrant 18AL /HPL,"15,600.00",SKYZEN
1042,18-04-2019,SI-SCV 31,ANDHRA,PVR FURNITURE & HOME NEEDS,SKY Super 5000,"14,400.00",SKYZEN
1043,18-04-2019,SI-SCV 32,ANDHRA,TEJA MOBILE WORLD,SKY Hippo Chill 4500,"33,985.00",SKYZEN
1044,18-04-2019,SI-SCV 32,ANDHRA,TEJA MOBILE WORLD,SKY MINI CUTE,"6,800.00",SKYZEN
1045,18-04-2019,SI-SCV 32,ANDHRA,TEJA MOBILE WORLD,Mini Cute Trolley,500.00,SKYZEN
1046,18-04-2019,SI-SCV 33,ANDHRA,SRI GANESH RADIO ELECTRONICS,SKY Hippo Chill 4500,"13,574.00",SKYZEN
1047,18-04-2019,SI-SLH 16,TELANGANA,BHARAT ELECTRONICS AND HOME APPLIANCES,SKYZEN LED M24D,"118,000.00",SKYZEN
1048,18-04-2019,SI-SLH 16,TELANGANA,BHARAT ELECTRONICS AND HOME APPLIANCES,SKYZEN LED M32S,"123,480.00",SKYZEN
1049,18-04-2019,SI-SLH 17,TELANGANA,AMBIKA APPLIANCES PVT LTD,SKYZEN LED M24D,"29,500.00",SKYZEN
1050,18-04-2019,SI-SLH 17,TELANGANA,AMBIKA APPLIANCES PVT LTD,SKYZEN LED M32,"746,100.00",SKYZEN
1051,18-04-2019,SI-SLH 17,TELANGANA,AMBIKA APPLIANCES PVT LTD,SKYZEN LED M32S,"31,470.00",SKYZEN
1052,18-04-2019,SI-SLH 18,TELANGANA,AMBIKA APPLIANCES PVT LTD,SKYZEN LED M42S,"144,000.00",SKYZEN
1053,18-04-2019,SI-SLH 19,TELANGANA,BHARAT ELECTRONICS AND HOME APPLIANCES,SKYZEN LED M42S,"72,000.00",SKYZEN
1054,18-04-2019,SI-SLV 11,ANDHRA,SONOVISION WATCH AND ELECTRONICS,SKYZEN LED M24D,"31,450.00",SKYZEN
1055,18-04-2019,SI-SLV 12,ANDHRA,NEELIMA ELECTRONICS & HOME NEEDS,SKYZEN LED M24D,"31,450.00",SKYZEN
1056,18-04-2019,SI-SLV 13,ANDHRA,RUCHITA HOME NEEDS & ELECTRONICS,SKYZEN LED M24D,"31,450.00",SKYZEN
1057,18-04-2019,SI-SLV 14,ANDHRA,STAR VISION TV SHOP,SKYZEN LED M24D,"31,450.00",SKYZEN
1058,18-04-2019,SI-SLV 15,ANDHRA,KUMAR ENTERPRISES TV&FURNATURE SHOWROOM,SKYZEN LED M24D,"31,450.00",SKYZEN
1059,18-04-2019,SI-SLV 16,ANDHRA,SAI RAM ENTER PRISES,SKYZEN LED M32,"54,540.00",SKYZEN
1060,18-04-2019,SI-SLV 17,ANDHRA,CANCEL DEALER,CANCEL PRODUCT,0.01,SERVICE
1061,18-04-2019,SI-SLV 17,ANDHRA,CANCEL DEALER,,-0.01,SKYZEN
1062,18-04-2019,SI-SLV 18,ANDHRA,MY HOME SHOPPY,SKYZEN LED M32SM,"26,380.00",SKYZEN
1063,18-04-2019,SI-SOV 15,ANDHRA,PVR FURNITURE & HOME NEEDS,SKY WATER DIS 21B FSR,"13,600.00",SKYZEN
1064,18-04-2019,SI-SOV 16,ANDHRA,SWAMY ENTER PRISES,SKY WATER DIS 21B FSR,"6,800.00",SKYZEN
1065,18-04-2019,SI-SOV 17,ANDHRA,SRI SAI ELECTRONICS,SKY SEMI WM SD 72R,"20,670.00",SKYZEN
1066,18-04-2019,SI-SOV 17,ANDHRA,SRI SAI ELECTRONICS,SKY SEMI WM SD 81R,"18,980.00",SKYZEN
1067,18-04-2019,SI-SOV 18,ANDHRA,RUCHITA HOME NEEDS & ELECTRONICS,SKY SEMI WM SD 90R,"10,400.00",SKYZEN
1068,18-04-2019,SI-SOV 18,ANDHRA,RUCHITA HOME NEEDS & ELECTRONICS,SKY SEMI WM SD 81R,"9,490.00",SKYZEN
1069,18-04-2019,SI-SOV 19,ANDHRA,SRI HANUMAN ENTERPRISES,SKY WATER DIS 21B FS,"16,650.00",SKYZEN
1070,18-04-2019,SI-SOV 19,ANDHRA,SRI HANUMAN ENTERPRISES,SKY WATER DIS 21B FSR,"18,270.00",SKYZEN
1071,18-04-2019,SI-STIPG 7,ANDHRA,VINAYAKA ELE & HOME NEEDS NEW AP (SUPPLIER),SKY WATER DIS 21B FS,"5,500.00",SKYZEN
1072,18-04-2019,SI-STIPG 7,ANDHRA,VINAYAKA ELE & HOME NEEDS NEW AP (SUPPLIER),SKY WATER DIS 21B FSR,"18,000.00",SKYZEN
1073,18-04-2019,SI-STIPG 7,ANDHRA,VINAYAKA ELE & HOME NEEDS NEW AP (SUPPLIER),SKY WASHER SZ 802,"364,000.00",SKYZEN
1074,18-04-2019,SI-STIPO 5,ANDHRA,SAI TEJA INDO PLAST HYD,SKY WASHER SZ 802,"540,000.00",SKYZEN
1075,18-04-2019,SI-STIPO 5,ANDHRA,SAI TEJA INDO PLAST HYD,SKY Smart Cool INV-R-H+USB,"180,000.00",SKYZEN
1076,18-04-2019,SI-STIPO 5,ANDHRA,SAI TEJA INDO PLAST HYD,SKY Smart Cool 18ALH,"50,000.00",SKYZEN
1077,18-04-2019,SI-STIPO 5,ANDHRA,SAI TEJA INDO PLAST HYD,SKY Vibrant 18AL/HPL -H,"25,000.00",SKYZEN
1078,18-04-2019,SI-STIPO 5,ANDHRA,SAI TEJA INDO PLAST HYD,SKY SEMI WM SD 75P,"40,500.00",SKYZEN
1079,18-04-2019,SI-SZP 12,ANDHRA,E BAZAR PNR,SKY Smart Cool 18ALH,"39,500.00",SKYZEN
1080,18-04-2019,TP-SI-MFGP 37,PONNUR,Cash Account AKV,JUMBO AIR COOLER,"6,400.00",CVCRM
1081,18-04-2019,TP-SI-MFGP 38,PONNUR,CANCEL DEALER,PUMP MOTOR,1.00,CVCRM
1082,18-04-2019,TP-SI-MFGP 39,PONNUR,Cash Account AKV,PUMP MOTOR,450.00,CVCRM
1083,18-04-2019,TP-SI-MFGP 40,PONNUR,Cash Account AKV,FAN MOTOR,650.00,CVCRM
1084,18-04-2019,TP-SI-MFGP 41,PONNUR,Cash Account AKV,SAFARI AIR COOLER,"3,500.00",CVCRM
1085,18-04-2019,TP-SI-MFGP 42,PONNUR,Cash Account AKV,TYPHOON AIR COOLER,"16,000.00",CVCRM
1086,18-04-2019,TP-SI-MFGP 43,PONNUR,RAFI ELECTRONICS,SAFARI AIR COOLER,"13,600.00",CVCRM
1087,18-04-2019,TP-SI-MFGP 43,PONNUR,RAFI ELECTRONICS,STORM AIR COOLER,"13,200.00",CVCRM
1088,18-04-2019,TP-SI-MFGP 44,PONNUR,RASHEED ELECTRONICS & HOME NEEDS,SAFARI AIR COOLER,"6,800.00",CVCRM
1089,18-04-2019,TP-SI-MFGP 44,PONNUR,RASHEED ELECTRONICS & HOME NEEDS,STORM AIR COOLER,"19,800.00",CVCRM
1090,18-04-2019,TP-SI-P 11,PONNUR,MYVA DIGITAL/PONNUR,SAFARI AIR COOLER,"11,000.00",CVCRM
1091,18-04-2019,TP-SI-P 11,PONNUR,MYVA DIGITAL/PONNUR,SAFARI AIR COOLER,"6,200.00",CVCRM
1092,18-04-2019,TP-SI-P 11,PONNUR,MYVA DIGITAL/PONNUR,TAX FOR COOLERS,"3,000.00",CVCRM
1093,18-04-2019,TP-SI-P 12,PONNUR,KARIMA ELECTRICAL WORKS,SAFARI AIR COOLER,"25,600.00",CVCRM
1094,18-04-2019,TP-SI-P 12,PONNUR,KARIMA ELECTRICAL WORKS,JUMBO AIR COOLER,"12,400.00",CVCRM
1095,18-04-2019,TP-SI-P 12,PONNUR,KARIMA ELECTRICAL WORKS,TAX FOR COOLERS,720.00,CVCRM
1096,18-04-2019,TP-SI-P 13,PONNUR,GANESH ENTERPRISES,JUMBO AIR COOLER,"30,500.00",CVCRM
1097,18-04-2019,TP-SI-P 13,PONNUR,GANESH ENTERPRISES,TAX FOR COOLERS,"1,000.00",CVCRM
1098,18-04-2019,TP-SI-P 14,PONNUR,SAIRAM ENTERPRISES,SAFARI AIR COOLER,"11,400.00",CVCRM
1099,18-04-2019,TP-SI-P 14,PONNUR,SAIRAM ENTERPRISES,STORM AIR COOLER,"19,800.00",CVCRM
1100,18-04-2019,TP-SI-P 14,PONNUR,SAIRAM ENTERPRISES,FAN MOTOR,"1,300.00",CVCRM
1101,18-04-2019,TP-SI-P 14,PONNUR,SAIRAM ENTERPRISES,PUMP MOTOR,"1,200.00",CVCRM
1102,18-04-2019,TP-SI-P 14,PONNUR,SAIRAM ENTERPRISES,TAX FOR COOLERS,"2,700.00",CVCRM
1103,18-04-2019,TP-SI-P 15,PONNUR,ANWAR HOME NEEDS,SAFARI AIR COOLER,"53,820.00",CVCRM
1104,18-04-2019,TP-SI-P 15,PONNUR,ANWAR HOME NEEDS,TAX FOR COOLERS,"2,340.00",CVCRM
1105,18-04-2019,TP-SI-P 16,PONNUR,KARIMA ELECTRICAL WORKS,STORM AIR COOLER,"6,200.00",CVCRM
1106,18-04-2019,TP-SI-P 16,PONNUR,KARIMA ELECTRICAL WORKS,SAFARI AIR COOLER,"9,600.00",CVCRM
1107,18-04-2019,TP-SI-P 16,PONNUR,KARIMA ELECTRICAL WORKS,TAX FOR COOLERS,360.00,CVCRM
1108,18-04-2019,TP-SI-P 17,PONNUR,SAI TEJA ELECTRONICS,SAFARI AIR COOLER,"14,500.00",CVCRM
1109,18-04-2019,TP-SI-P 17,PONNUR,SAI TEJA ELECTRONICS,STORM AIR COOLER,"14,000.00",CVCRM
1110,18-04-2019,TP-SI-P 17,PONNUR,SAI TEJA ELECTRONICS,TAX FOR COOLERS,"1,500.00",CVCRM
1111,19-04-2019,CSI-V 3,ANDHRA,Cash Account Dileep,SKY INDUSTRIAL COOLER 30 INCH,"10,000.00",SKYZEN
1112,19-04-2019,CSI-V 4,ANDHRA,Cash Account Dileep,SKY VIBRANT 5000HCR,"8,000.00",SKYZEN
1113,19-04-2019,SI-CBO 49,ANDHRA,VIJAYALAKSHMI ELECTRONICS & HOME APPLIENCES,AIRCOOLER,"48,000.00",CVCRM
1114,19-04-2019,SI-CBO 54,ANDHRA,SRI GAYATRI ELECTRONICS,AIRCOOLER,"40,000.00",CVCRM
1115,19-04-2019,SI-CBO 55,ANDHRA,A R ENTERPRISES,AIRCOOLER PLASTIC BODYS,"56,000.00",SKYZEN
1116,19-04-2019,SI-CCBO 49,ONGOLE,VIJAYALAKSHMI ELECTRONICS & HOME APPLIENCES,SNOW COOL WHITE AIR COOLER,"38,400.00",CVCRM
1117,19-04-2019,SI-CCBO 49,ONGOLE,VIJAYALAKSHMI ELECTRONICS & HOME APPLIENCES,TAX FOR COOLERS,"7,320.00",CVCRM
1118,19-04-2019,SI-CCBO 54,ONGOLE,SRI GAYATRI ELECTRONICS,SAFARI AIR COOLER,"10,900.00",CVCRM
1119,19-04-2019,SI-CCBO 54,ONGOLE,SRI GAYATRI ELECTRONICS,STORM AIR COOLER,"27,900.00",CVCRM
1120,19-04-2019,SI-CCBO 54,ONGOLE,SRI GAYATRI ELECTRONICS,TAX FOR COOLERS,"6,100.00",CVCRM
1121,19-04-2019,SI-CCBO 55,ONGOLE,A R ENTERPRISES,SAFARI BODY,"59,500.00",CVCRM
1122,19-04-2019,SI-CCBO 55,ONGOLE,A R ENTERPRISES,SAFARI BODY,"49,500.00",CVCRM
1123,19-04-2019,SI-CCBO 55,ONGOLE,A R ENTERPRISES,TAX FOR COOLERS,"8,540.00",CVCRM
1124,19-04-2019,SI-CCBO 55,ONGOLE,A R ENTERPRISES,SWITCH SGI 3 POLE,"1,500.00",SERVICE
1125,19-04-2019,SI-CCBO 55,ONGOLE,A R ENTERPRISES,CORRUGATED BOXES,"7,000.00",SKYZEN
1126,19-04-2019,SI-H 12,TELANGANA,RS ENTERPRISES,STORM AIR COOLER,"3,528.00",CVCRM
1127,19-04-2019,SI-H 12,TELANGANA,RS ENTERPRISES,SAFARI AIR COOLER,"3,646.00",CVCRM
1128,19-04-2019,SI-SCH 36,TELANGANA,RS ENTERPRISES,SKY Smile Blower,"4,797.00",SKYZEN
1129,19-04-2019,SI-SCH 36,TELANGANA,RS ENTERPRISES,SKY Hippo Chill 4500,"6,011.00",SKYZEN
1130,19-04-2019,SI-SCH 36,TELANGANA,RS ENTERPRISES,SKY Thunder Cool 18AL,"6,781.00",SKYZEN
1131,19-04-2019,SI-SCO 24,ANDHRA,DREAM ENTERPRISES,SKY Smile Blower,"235,400.00",SKYZEN
1132,19-04-2019,SI-SCO 24,ANDHRA,DREAM ENTERPRISES,Smile Trolly,"3,150.00",SKYZEN
1133,19-04-2019,SI-SCO 25,ANDHRA,SURYA ELECTRONICS,SKY WASHER SZ 802,"163,800.00",SKYZEN
1134,19-04-2019,SI-SCO 25,ANDHRA,SURYA ELECTRONICS,SKY Smile Blower,"86,346.00",SKYZEN
1135,19-04-2019,SI-SCO 25,ANDHRA,SURYA ELECTRONICS,SKY SEMI WM SD 72R,"40,140.00",SKYZEN
1136,19-04-2019,SI-SCO 25,ANDHRA,SURYA ELECTRONICS,SKY SEMI WM SD 75P,"57,520.00",SKYZEN
1137,19-04-2019,SI-SCO 25,ANDHRA,SURYA ELECTRONICS,SKY SEMI WM SD 81R,"69,544.00",SKYZEN
1138,19-04-2019,SI-SCO 26,ANDHRA,SURYA ELECTRONICS,SKY Smile Blower,"163,098.00",SKYZEN
1139,19-04-2019,SI-SCO 26,ANDHRA,SURYA ELECTRONICS,SKY Thunder Cool 18AL,"13,962.00",SKYZEN
1140,19-04-2019,SI-SCO 26,ANDHRA,SURYA ELECTRONICS,SKY Super Cool 16AL,"64,350.00",SKYZEN
1141,19-04-2019,SI-SLH 20,TELANGANA,RS ENTERPRISES,SKYZEN LED M50S(V51S),"32,890.00",SKYZEN
1142,19-04-2019,SI-SLH 21,TELANGANA,RS ENTERPRISES,SKYZEN LED M24D,"31,500.00",SKYZEN
1143,19-04-2019,SI-SLV 19,ANDHRA,AMEER ELECTRONICS,SKYZEN LED M24D,"33,950.00",SKYZEN
1144,19-04-2019,SI-SLV 19,ANDHRA,AMEER ELECTRONICS,SKYZEN LED M32S,"36,270.00",SKYZEN
1145,19-04-2019,SI-SLV 20,ANDHRA,AMEER ELECTRONICS,SKYZEN LED M42S,"20,000.00",SKYZEN
1146,19-04-2019,SI-SOH 20,TELANGANA,RS ENTERPRISES,SKY WASHER SZ 802,"99,875.00",SKYZEN
1147,19-04-2019,SI-SOH 20,TELANGANA,RS ENTERPRISES,SKY WATER DIS 21B FSR,"12,180.00",SKYZEN
1148,19-04-2019,SI-SOH 21,TELANGANA,RS ENTERPRISES,SKY WASHER SZ 802,"99,875.00",SKYZEN
1149,19-04-2019,SI-SOH 22,TELANGANA,ASIAN ELECTRONICS,SKY WASHER SZ 802,"119,850.00",SKYZEN
1150,19-04-2019,SI-SOH 23,TELANGANA,VAISHNAVI MARKETING,SKY WASHER SZ 802,"39,950.00",SKYZEN
1151,19-04-2019,SI-SOO 7,ANDHRA,VK ENTERPRISES,SKY WASHER SZ 802,"208,835.37",SKYZEN
1152,19-04-2019,SI-SOO 7,ANDHRA,VK ENTERPRISES,,-0.37,SKYZEN
1153,19-04-2019,SI-SOV 20,ANDHRA,GVS TECHNOLOGIES,SKY WASHER SZ 802,"72,235.80",SKYZEN
1154,19-04-2019,SI-SOV 20,ANDHRA,GVS TECHNOLOGIES,,0.20,SKYZEN
1155,19-04-2019,TG-CSI-V 1,GOLLAPUDI,Cash Account Dileep,DEFECTIVE PRODUCT,"40,000.00",SKYZEN
1156,19-04-2019,TO-SI-ONG 2,ONGOLE,SREE LAKSHMI ENTERPRISES,TYPHOON AIR COOLER,"11,400.00",CVCRM
1157,19-04-2019,TO-SI-ONG 2,ONGOLE,SREE LAKSHMI ENTERPRISES,SAFARI AIR COOLER,"34,000.00",CVCRM
1158,20-04-2019,CSI-ONG 19,ANDHRA,CASH ACCOUNT NANO,SKY Smart Cool 18AL,"7,500.00",SKYZEN
1159,20-04-2019,CSI-ONG 20,ANDHRA,CASH ACCOUNT NANO,SKY Smart Cool 18AL,"7,500.00",SKYZEN
1160,20-04-2019,CSI-V 5,ANDHRA,Cash Account Dileep,SKY Vibrant 18AL/HPL -R H,"9,500.00",SKYZEN
1161,20-04-2019,SI-CBO 56,ANDHRA,MURALI ELECTRONICS,AIRCOOLER,"44,000.00",CVCRM
1162,20-04-2019,SI-CCBO 56,ONGOLE,MURALI ELECTRONICS,TYPHOON AIR WHITE COOLER,"37,400.00",CVCRM
1163,20-04-2019,SI-CCBO 56,ONGOLE,MURALI ELECTRONICS,TAX FOR COOLERS,"6,710.00",CVCRM
1164,20-04-2019,SI-KSV 21,ANDHRA,SAI ELECTRONICS&FURNITURES,KEN TURBOCOOL SUPER,"33,636.00",KENSTAR
1165,20-04-2019,SI-KSV 22,ANDHRA,GAYATRI MEGA FURNITURE,KEN DOUBLE COOL,"36,600.00",KENSTAR
1166,20-04-2019,SI-KSV 23,ANDHRA,NARAYANA EMPORIUM,KEN TURBOCOOL DX,"32,000.00",KENSTAR
1167,20-04-2019,SI-KSV 23,ANDHRA,NARAYANA EMPORIUM,KEN TURBOCOOL DX REMOTE,"16,600.00",KENSTAR
