SNo,Date,Voucher No,Receipt Mode,Branch,Party,Account,Net Amount,Division
188,17-04-2019,TG-RP-V 21,Cash,GOLLAPUDI,RR ELECTRONICS,Travelling Cash Raja,"69,360.00",SKYZEN
189,17-04-2019,TG-RP-V 22,Cash,GOLLAPUDI,MODERN AIR CONDITION AND HOME APPLIANCES,Travelling Cash Raja,"58,825.00",SKYZEN
190,17-04-2019,TG-RP-V 23,Cash,GOLLAPUDI,SRI SAI TEJA ELECTRONICS,Travelling Cash Raja,"90,000.00",SKYZEN
191,17-04-2019,TG-RP-V 24,Cash,GOLLAPUDI,KATYANI ENTERPRISES,Travelling Cash Raja,"16,730.00",SKYZEN
192,17-04-2019,TG-RP-V 25,Cash,GOLLAPUDI,RR ELECTRONICS,Travelling Cash Raja,"96,000.00",SKYZEN
193,17-04-2019,TG-RP-V 26,Cash,GOLLAPUDI,RAMA ELECTRONICS,Travelling Cash Raja,"50,000.00",SKYZEN
194,17-04-2019,TG-RP-V 27,Cash,GOLLAPUDI,GOPI KRISHNA ELE,Travelling Cash Raja,"200,000.00",SKYZEN
195,18-04-2019,RBR-P 143,Cheques,ANDHRA,UNIQUE ENTERPRISES,HDFC BANK OD 0425,"35,000.00",SKYZEN
196,18-04-2019,RBR-P 144,Cheques,ANDHRA,THIRUMALA ELECTRONICS AND ENTERPRISES,HDFC BANK OD 0425,"60,000.00",SKYZEN
197,18-04-2019,RBR-P 145,Cheques,ANDHRA,VK ENTERPRISES,HDFC BANK OD 0425,"200,000.00",SKYZEN
198,18-04-2019,RBR-P 146,Cheques,ANDHRA,SRI SAI MARK ENTERPRISES,HDFC BANK OD 0425,"50,000.00",SKYZEN
199,18-04-2019,RBR-P 147,Cheques,ANDHRA,AMEER ELECTRONICS,HDFC BANK OD 0425,"30,000.00",SKYZEN
200,18-04-2019,RBR-P 148,Cheques,ANDHRA,GVS TECHNOLOGIES,HDFC BANK OD 0425,"400,000.00",SKYZEN
201,18-04-2019,RBR-P 149,Cheques,ANDHRA,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,HDFC BANK OD 0425,"27,000.00",SKYZEN
202,18-04-2019,RBR-P 150,Cheques,ANDHRA,MAHAVIR AGENCIES,HDFC BANK OD 0425,"333,220.00",SKYZEN
203,18-04-2019,RBR-P 151,Cheques,ANDHRA,SRI HANUMAN ENTERPRISES,HDFC BANK OD 0425,"321,048.00",SKYZEN
204,18-04-2019,RBR-P 152,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
205,18-04-2019,RBR-P 154,Cheques,ANDHRA,EWEL GROUP INDIA PRIVATE LIMITED,HDFC BANK OD 0425,"120,295.00",SKYZEN
206,18-04-2019,RBR-P 159,Cheques,ANDHRA,NIHARIKA DIGITAL&HOME NEEDS,HDFC BANK OD 0425,"100,000.00",SKYZEN
207,18-04-2019,RBR-P 160,Cheques,ANDHRA,SURYA ELECTRONICS JANGAREDDYGUDEM,HDFC BANK OD 0425,"60,000.00",SKYZEN
208,18-04-2019,RBR-P 161,Cheques,ANDHRA,VYJAYANTHI ENTERPRISES,HDFC BANK OD 0425,"15,000.00",SKYZEN
209,18-04-2019,RBR-P 162,Cheques,ANDHRA,THE RAJAMUNDRY INNOVATIONS,HDFC BANK OD 0425,"100,000.00",SKYZEN
210,18-04-2019,RBR-P 163,Cheques,ANDHRA,SRINIVASA TRADING CO,HDFC BANK OD 0425,"20,000.00",SKYZEN
211,18-04-2019,RBR-P 164,Cheques,ANDHRA,SRI SAI RAM ELECTRONICSS,HDFC BANK OD 0425,"32,693.00",SKYZEN
212,18-04-2019,RBR-P 165,Cheques,ANDHRA,SHAMA CLASSIC ENTERPRISES,HDFC BANK OD 0425,"192,000.00",SKYZEN
213,18-04-2019,RBR-P 166,Cheques,ANDHRA,SAI TRADERS,HDFC BANK OD 0425,"50,000.00",SKYZEN
214,18-04-2019,RBR-P 167,Cheques,ANDHRA,P M RAO AND ASSOCIATES,HDFC BANK OD 0425,"8,200.00",SKYZEN
215,18-04-2019,RP-JP 4,Cash,ANDHRA,SURYA TEJA SHOPPING MALL,Travelling Cash Pavan,"10,000.00",SKYZEN
216,18-04-2019,RP-JP 5,Cash,ANDHRA,VEERA BHASKHARA ENTERPRISES,Travelling Cash Pavan,"10,000.00",SKYZEN
217,18-04-2019,RP-JP 6,Cash,ANDHRA,NEW SONOVISION,Travelling Cash Pavan,"10,000.00",SKYZEN
218,18-04-2019,RP-JP 7,Cash,ANDHRA,NEW SONOVISION,Travelling Cash Pavan,"2,900.00",SKYZEN
219,18-04-2019,RP-JP 8,Cash,ANDHRA,PREM NAGAR ELECTRONICS NAGESWARRAO,Travelling Cash Pavan,"10,000.00",SKYZEN
220,18-04-2019,RP-JP 9,Cash,ANDHRA,PREM NAGAR ELECTRONICS NAGESWARRAO,Travelling Cash Pavan,"5,000.00",SKYZEN
221,19-04-2019,RBR-P 155,Cheques,ANDHRA,VAISHNAVI MARKETING,HDFC BANK OD 0425,"100,000.00",SKYZEN
222,19-04-2019,RBR-P 156,Cheques,ANDHRA,HS ENTERPRISE NEW,HDFC BANK OD 0425,"200,000.00",SKYZEN
223,19-04-2019,RBR-P 157,Cheques,ANDHRA,THIRUMALA ELECTRONICS AND ENTERPRISES,HDFC BANK OD 0425,"40,000.00",SKYZEN
224,19-04-2019,RBR-P 158,Cheques,ANDHRA,BHARAT ELECTRONICS AND HOME APPLIANCES,HDFC BANK OD 0425,"29,853.00",SKYZEN
225,20-04-2019,RBR-P 168,Cheques,ANDHRA,SURYA ELECTRONICS,HDFC BANK OD 0425,"500,000.00",SKYZEN
226,20-04-2019,RBR-P 169,Cheques,ANDHRA,UTSAV FURNITURE AND ELECTRONICS-,HDFC BANK OD 0425,"300,000.00",SKYZEN
227,20-04-2019,RBR-P 170,Cheques,TELANGANA,RS ENTERPRISES,HDFC BANK OD 0425,"300,000.00",SKYZEN
228,20-04-2019,RBR-P 171,Cheques,TELANGANA,LAXMI AUDIOS,HDFC BANK OD 0425,"200,000.00",SKYZEN
229,20-04-2019,RBR-P 172,Cheques,ANDHRA,KUMAR ENTERPRISES TV&FURNATURE SHOWROOM,HDFC BANK OD 0425,"20,000.00",SKYZEN
230,20-04-2019,RBR-P 173,Cheques,ANDHRA,VIJAYALAKSHMI TEXTILES AND COLLECTIONS,HDFC BANK OD 0425,"110,000.00",SKYZEN
231,20-04-2019,RBR-P 174,Cheques,ANDHRA,MYVA DIGITAL/PONNUR,HDFC BANK OD 0425,"20,000.00",SKYZEN
232,20-04-2019,RBR-P 175,Cheques,ANDHRA,MARUTI ELECTRONICS,HDFC BANK OD 0425,"38,940.00",CVCRM
233,20-04-2019,RBR-P 176,Cheques,ANDHRA,RAGHU ELECTRONICS,HDFC BANK OD 0425,"13,819.00",SKYZEN
234,20-04-2019,RBR-P 177,Cheques,ANDHRA,RAJCO ELECTRONICS,HDFC BANK OD 0425,"70,200.00",SKYZEN
235,20-04-2019,RBR-P 178,Cheques,ANDHRA,NEELIMA ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"35,000.00",SKYZEN
236,20-04-2019,RBR-P 179,Cheques,ANDHRA,INNOVATION,HDFC BANK OD 0425,"27,300.00",SKYZEN
237,20-04-2019,RBR-P 180,Cheques,ANDHRA,SRI DHANALAKSHMI AGENCIES,HDFC BANK OD 0425,"42,000.00",SKYZEN
238,20-04-2019,RBR-P 181,Cheques,ANDHRA,SRI VENKATESWARA ELECTRONICS & FURNITURE,HDFC BANK OD 0425,"48,000.00",SKYZEN
239,20-04-2019,RBR-P 182,Cheques,ANDHRA,SRI VENKATESWARA ELECTRONICS & FURNITURE,HDFC BANK OD 0425,"56,669.00",SKYZEN
240,20-04-2019,RBR-P 183,Cheques,ANDHRA,SRI VINAYAKA ELECTRONICS,HDFC BANK OD 0425,"500,000.00",SKYZEN
241,20-04-2019,RBR-P 184,Cheques,TELANGANA,SHREEJA ENTERPRISES,HDFC BANK OD 0425,"175,000.00",SKYZEN
242,20-04-2019,RP-JP 10,Cash,ANDHRA,BUJJI ELECTRONICS,Travelling Cash Pavan,"10,000.00",SKYZEN
243,20-04-2019,RP-JP 11,Cash,ANDHRA,GAYATRI MEGA FURNITURE,Travelling Cash Pavan,"5,000.00",SKYZEN
244,21-04-2019,TG-RP-V 36,Cash,GOLLAPUDI,GOPI KRISHNA ELE,Travelling Cash Raja,"200,000.00",SKYZEN
245,22-04-2019,RBR-P 185,Cheques,ANDHRA,SRM ELECTRONICS NANDYAL,HDFC BANK OD 0425,"25,000.00",SKYZEN
246,22-04-2019,RBR-P 186,Cheques,ANDHRA,ABHIRAM ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
247,22-04-2019,RBR-P 187,Cheques,ANDHRA,SUDHEER ELECTRONICS,HDFC BANK OD 0425,"36,000.00",SKYZEN
248,22-04-2019,RBR-P 188,Cheques,ANDHRA,VIMSONS ENTERPRISES,HDFC BANK OD 0425,"64,700.00",SKYZEN
249,22-04-2019,RBR-P 189,Cheques,ANDHRA,DIVYA ELECTRONICS AND ELECTRICALS,HDFC BANK OD 0425,"120,000.00",SKYZEN
250,22-04-2019,RBR-P 190,Cheques,ANDHRA,KUMAR ENTERPRISES TV&FURNATURE SHOWROOM,HDFC BANK OD 0425,"20,000.00",SKYZEN
251,22-04-2019,RBR-P 191,Cheques,ANDHRA,ASIAN ELECTRONICS,HDFC BANK OD 0425,"54,540.00",SKYZEN
252,22-04-2019,RBR-P 192,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"200,000.00",SKYZEN
253,22-04-2019,RBR-P 193,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"50,000.00",SKYZEN
254,22-04-2019,RBR-P 194,Cheques,ANDHRA,SRI PADMA TV CENTER & HOME NEEDS,HDFC BANK OD 0425,"20,000.00",SKYZEN
255,22-04-2019,RBR-P 195,Cheques,ANDHRA,SRI LAKSHMI ELECTRICALS,HDFC BANK OD 0425,"26,904.00",CVCRM
256,22-04-2019,RBR-P 196,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"100,000.00",SKYZEN
257,22-04-2019,RBR-P 197,Cheques,ANDHRA,SRI SAI ELECTRONICS,HDFC BANK OD 0425,"25,000.00",SKYZEN
258,22-04-2019,RBR-P 198,Cheques,ANDHRA,DIVYA DIGITAL SHOPPY T.V HOME APPLIANCE,HDFC BANK OD 0425,"71,800.00",SKYZEN
259,22-04-2019,RBR-P 199,Cheques,ANDHRA,SRI SRINIVASA FURNITURES,HDFC BANK OD 0425,"10,000.00",SKYZEN
260,22-04-2019,RP-RK 16,Cash,ANDHRA,KAMADHENU ELECTRONICS,Travelling Cash Ratnakumar,"10,000.00",CVCRM
261,22-04-2019,RP-RK 17,Cash,ANDHRA,KAMADHENU ELECTRONICS,Travelling Cash Ratnakumar,"8,000.00",SKYZEN
262,22-04-2019,RP-RK 18,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"10,000.00",SKYZEN
263,22-04-2019,RP-RK 19,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"3,500.00",SKYZEN
264,22-04-2019,RP-RK 20,Cash,ANDHRA,NYNI ENTERPRISES,Travelling Cash Ratnakumar,"4,500.00",SKYZEN
265,22-04-2019,RP-RK 21,Cash,ANDHRA,VIJAYA MANIKANTA FURNITURES,Travelling Cash Ratnakumar,"9,624.00",CVCRM
266,22-04-2019,TG-RP-V 28,Cash,GOLLAPUDI,SUDHEER ELECTRONICS,Travelling Cash Ratnakumar,"50,000.00",SKYZEN
267,22-04-2019,TG-RP-V 29,Cash,GOLLAPUDI,SREE LAKSHMI GANAPATHY ELECTRONICS & MOBILES,Travelling Cash Ratnakumar,"90,514.00",SKYZEN
268,22-04-2019,TG-RP-V 30,Cash,GOLLAPUDI,MY HOME SHOPPY,Travelling Cash Ratnakumar,"43,152.00",SKYZEN
269,22-04-2019,TG-RP-V 31,Cash,GOLLAPUDI,SRI SAI DURGA HOME NEEDS,Travelling Cash Pavan,"30,000.00",SKYZEN
270,22-04-2019,TG-RP-V 32,Cash,GOLLAPUDI,ROYAL COOL ENTERPRISES,Travelling Cash Pavan,"300,760.00",SKYZEN
271,22-04-2019,TG-RP-V 33,Cash,GOLLAPUDI,SRI SURYA SONOVISION FURNITURE &ELECTRONICS,Travelling Cash Ratnakumar,"54,346.00",SKYZEN
272,22-04-2019,TG-RP-V 34,Cash,GOLLAPUDI,NYNI ENTERPRISES,Travelling Cash Ratnakumar,"14,484.00",SKYZEN
273,22-04-2019,TG-RP-V 35,Cash,GOLLAPUDI,KAMADHENU ELECTRONICS,Travelling Cash Ratnakumar,"61,086.00",SKYZEN
274,23-04-2019,RBR-P 200,Cheques,ANDHRA,SAI KRISHNA TRADING COMPANY,HDFC BANK OD 0425,"50,000.00",SKYZEN
275,23-04-2019,RBR-P 201,Cheques,ANDHRA,VIJAYALAKSHMI TEXTILES AND COLLECTIONS,HDFC BANK OD 0425,"122,000.00",SKYZEN
276,23-04-2019,RBR-P 202,Cheques,ANDHRA,ANIL DIGI WORLD,HDFC BANK OD 0425,"6,400.00",SKYZEN
277,23-04-2019,RBR-P 203,Cheques,ANDHRA,KALYAN ENTERPRISES,HDFC BANK OD 0425,"40,000.00",SKYZEN
278,23-04-2019,RBR-P 204,Cheques,ANDHRA,G N HOME APPLIANCES,HDFC BANK OD 0425,"50,000.00",SKYZEN
279,23-04-2019,RBR-P 205,Cheques,ANDHRA,SRI HANUMAN ENTERPRISES,HDFC BANK OD 0425,"34,920.00",SKYZEN
280,23-04-2019,RBR-P 206,Cheques,ANDHRA,KUMAR ENTERPRISES,HDFC BANK OD 0425,"80,000.00",SKYZEN
281,23-04-2019,RBR-P 207,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
282,23-04-2019,RBR-P 208,Cheques,ANDHRA,SRI RAJA ELECTRONICS,HDFC BANK OD 0425,"300,000.00",SKYZEN
283,23-04-2019,RBR-P 209,Cheques,ANDHRA,SRI SRINIVASA FURNITURES,HDFC BANK OD 0425,"10,000.00",SKYZEN
284,23-04-2019,RBR-P 210,Cheques,ANDHRA,SRI RAJYALAKSHMI ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"551,200.00",SKYZEN
285,23-04-2019,RBR-P 211,Cheques,TELANGANA,MARUTI ELECTRONICS,HDFC BANK OD 0425,"77,880.00",SKYZEN
286,23-04-2019,RBR-P 212,Cheques,ANDHRA,VK ENTERPRISES,HDFC BANK OD 0425,"200,000.00",SKYZEN
287,23-04-2019,RBR-P 213,Cheques,ANDHRA,THIRUMALA ELECTRONICS AND ENTERPRISES,HDFC BANK OD 0425,"99,000.00",SKYZEN
288,23-04-2019,RBR-P 214,Cheques,ANDHRA,RADHA KRISHNA ELECTRONICS,HDFC BANK OD 0425,"20,000.00",SKYZEN
289,23-04-2019,RP-V 1,Cash,ANDHRA,SRI RAJESWARI ENTERPRISES,Travelling Cash Nani,"10,000.00",SKYZEN
290,23-04-2019,RP-V 2,Cash,ANDHRA,SRI RAJESWARI ENTERPRISES,Travelling Cash Nani,"10,000.00",SKYZEN
291,23-04-2019,RP-V 3,Cash,ANDHRA,SRI RAJESWARI ENTERPRISES,Travelling Cash Nani,"10,000.00",SKYZEN
292,23-04-2019,RP-V 4,Cash,ANDHRA,SRI RAJESWARI ENTERPRISES,Travelling Cash Nani,"10,000.00",SKYZEN
293,23-04-2019,RP-V 5,Cash,ANDHRA,SRI RAJESWARI ENTERPRISES,Travelling Cash Nani,"10,000.00",SKYZEN
294,23-04-2019,RP-V 6,Cash,ANDHRA,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,Travelling Cash Nani,"10,000.00",SKYZEN
295,23-04-2019,RP-V 7,Cash,ANDHRA,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,Travelling Cash Nani,"10,000.00",SKYZEN
296,23-04-2019,RP-V 8,Cash,ANDHRA,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,Travelling Cash Nani,"10,000.00",SKYZEN
297,23-04-2019,RP-V 9,Cash,ANDHRA,SRI VENKATESWARA ELECTRICALS & GENARALS STORES,Travelling Cash Nani,"4,000.00",SKYZEN
298,24-04-2019,RBR-P 215,Cheques,ANDHRA,VIJAYALAKSHMI TEXTILES AND COLLECTIONS,HDFC BANK OD 0425,"150,000.00",SKYZEN
299,24-04-2019,RBR-P 216,Cheques,ANDHRA,SAI RAM ENTER PRISES,HDFC BANK OD 0425,"20,000.00",SKYZEN
300,24-04-2019,RBR-P 217,Cheques,ANDHRA,VENKATESWARLU BONTHALA,HDFC BANK OD 0425,"8,500.00",SKYZEN
301,24-04-2019,RBR-P 218,Cheques,TELANGANA,REDDYS REFRIGERATION & ENTERPRISES,HDFC BANK OD 0425,"11,000.00",SKYZEN
302,24-04-2019,RBR-P 219,Cheques,ANDHRA,STAR VISION TV SHOP,HDFC BANK OD 0425,"70,000.00",SKYZEN
303,24-04-2019,RBR-P 220,Cheques,ANDHRA,A P FURNITURE MALL,HDFC BANK OD 0425,"20,000.00",SKYZEN
304,24-04-2019,RBR-P 221,Cheques,ANDHRA,HOME STAR,HDFC BANK OD 0425,"500,000.00",SKYZEN
305,24-04-2019,RBR-P 222,Cheques,ANDHRA,SRI SAI JYOTHI ELECTRONICS,HDFC BANK OD 0425,"20,000.00",SKYZEN
306,24-04-2019,RBR-P 223,Cheques,ANDHRA,INNOVATIONS SHOPPING MALL,HDFC BANK OD 0425,"100,000.00",SKYZEN
307,24-04-2019,RBR-P 224,Cheques,ANDHRA,KRISHNAENTERPRISES,HDFC BANK OD 0425,"9,000.00",CVCRM
308,24-04-2019,RBR-P 225,Cheques,TELANGANA,CHOICE ELECTRICAL REWINDING WORKS,HDFC BANK OD 0425,"32,000.00",SKYZEN
309,24-04-2019,RBR-P 226,Cheques,ANDHRA,SRI RAJESWARI ENTERPRISES,HDFC BANK OD 0425,"30,000.00",SKYZEN
310,24-04-2019,RP-V 10,Cash,ANDHRA,ROSHAN LIGHTS,Travelling Cash Raja,"10,000.00",SKYZEN
311,24-04-2019,RP-V 11,Cash,ANDHRA,ROSHAN LIGHTS,Travelling Cash Raja,"5,000.00",SKYZEN
312,24-04-2019,TG-RP-V 40,Cash,GOLLAPUDI,VIJAYALAKSHMI ELECTRONICS,Travelling Cash Raja,"151,250.00",SKYZEN
313,24-04-2019,TG-RP-V 41,Cash,GOLLAPUDI,SRI SAI TEJA ELECTRONICS,Travelling Cash Raja,"50,000.00",SKYZEN
314,24-04-2019,TG-RP-V 42,Cash,GOLLAPUDI,VIJAYALAKSHMI ELECTRONICS & HOME APPLIENCES,Travelling Cash Raja,"120,000.00",SKYZEN
315,24-04-2019,TG-RP-V 43,Cash,GOLLAPUDI,SRINIVAS ELECTRONICS NEW( BHAVANIPURAM),Travelling Cash Ratnakumar,"36,500.00",SKYZEN
316,25-04-2019,RBR-P 227,Cheques,ANDHRA,DREAM ENTERPRISES,HDFC BANK OD 0425,"238,550.00",SKYZEN
317,25-04-2019,RBR-P 228,Cheques,ANDHRA,DREAM ENTERPRISES,HDFC BANK OD 0425,"16,650.00",SKYZEN
318,25-04-2019,RBR-P 229,Cheques,ANDHRA,MAHAVIR AGENCIES,HDFC BANK OD 0425,"400,000.00",SKYZEN
319,25-04-2019,RBR-P 230,Cheques,ANDHRA,GAYATHRI HOME APPLIENCESS,HDFC BANK OD 0425,"154,099.00",SKYZEN
320,25-04-2019,RBR-P 231,Cheques,ANDHRA,HS ENTERPRISE NEW,HDFC BANK OD 0425,"200,000.00",SKYZEN
321,25-04-2019,RBR-P 232,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"50,000.00",SKYZEN
322,25-04-2019,RBR-P 233,Cheques,ANDHRA,NEW AM ENTERPRISES,HDFC BANK OD 0425,"1,500.00",SKYZEN
323,25-04-2019,RBR-P 234,Cheques,ANDHRA,THE RAJAMUNDRY INNOVATIONS,HDFC BANK OD 0425,"100,000.00",SKYZEN
324,25-04-2019,RBR-P 235,Cheques,ANDHRA,INNOVATION,HDFC BANK OD 0425,"27,300.00",SKYZEN
325,25-04-2019,RBR-P 236,Cheques,ANDHRA,NEELIMA ELECTRONICS & HOME NEEDS,HDFC BANK OD 0425,"35,000.00",SKYZEN
326,25-04-2019,RBR-P 237,Cheques,ANDHRA,LAKSHMI SRINIVASA AGENCY,HDFC BANK OD 0425,"150,000.00",SKYZEN
327,25-04-2019,RP-JP 12,Cash,ANDHRA,NEW KAVERI HOME NEEDS (HA),Travelling Cash Pavan,"10,000.00",SKYZEN
328,25-04-2019,RP-JP 13,Cash,ANDHRA,SRI VENKATESWARA HOMENEEDS,Travelling Cash Pavan,"10,000.00",SKYZEN
329,25-04-2019,RP-RK 22,Cash,ANDHRA,NYNI ENTERPRISES,Travelling Cash Ratnakumar,"9,000.00",SKYZEN
330,25-04-2019,RP-RK 23,Cash,ANDHRA,MY HOME SHOPPY,Travelling Cash Ratnakumar,"9,000.00",SKYZEN
331,25-04-2019,RP-V 12,Cash,ANDHRA,SRI SURYA TRADING COMPANY,Cash Account Dileep,"6,200.00",SKYZEN
332,25-04-2019,TG-RP-V 44,Cash,GOLLAPUDI,NYNI ENTERPRISES,Travelling Cash Ratnakumar,"31,168.00",SKYZEN
333,25-04-2019,TG-RP-V 45,Cash,GOLLAPUDI,MY HOME SHOPPY,Travelling Cash Ratnakumar,"31,768.00",SKYZEN
334,25-04-2019,TG-RP-V 46,Cash,GOLLAPUDI,KAMADHENU ELECTRONICS,Travelling Cash Ratnakumar,"123,378.00",SKYZEN
335,26-04-2019,RBR-P 238,Cheques,ANDHRA,VIJAYALAKSHMI TEXTILES AND COLLECTIONS,HDFC BANK OD 0425,"80,000.00",SKYZEN
336,26-04-2019,RBR-P 239,Cheques,ANDHRA,KAMADHENU ELECTRONICS,HDFC BANK OD 0425,"39,000.00",SKYZEN
337,26-04-2019,RBR-P 240,Cheques,ANDHRA,MATTUPALLI ELECTRONICS,HDFC BANK OD 0425,"40,500.00",SKYZEN
338,26-04-2019,RBR-P 241,Cheques,ANDHRA,VASAVI TIME VISION,HDFC BANK OD 0425,"35,000.00",SKYZEN
339,26-04-2019,RBR-P 242,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"250,000.00",SKYZEN
340,26-04-2019,RBR-P 243,Cheques,ANDHRA,RUCHITA HOME NEEDS & ELECTRONICS,HDFC BANK OD 0425,"50,000.00",SKYZEN
341,26-04-2019,RBR-P 244,Cheques,TELANGANA,SHREEJA ENTERPRISES,HDFC BANK OD 0425,"18,680.00",SKYZEN
342,26-04-2019,RBR-P 245,Cheques,ANDHRA,GVS TECHNOLOGIES,HDFC BANK OD 0425,"399,970.50",SKYZEN
343,26-04-2019,RBR-P 246,Cheques,ANDHRA,E BAZAR PNR,HDFC BANK OD 0425,"300,000.00",SKYZEN
344,26-04-2019,RBR-P 247,Cheques,ANDHRA,SRIKANTHS DIGI SHOPPE,HDFC BANK OD 0425,"20,000.00",SKYZEN
345,27-04-2019,RP-HR 5,Cash,ANDHRA,SRI VENKATESWARA HOME NEEDS,Travelling Cash Harnatha reddy,"10,000.00",SKYZEN
346,27-04-2019,RP-HR 6,Cash,ANDHRA,SRI VIJAYA LAKSHMI ENTER PRISES,Travelling Cash Harnatha reddy,"7,000.00",SKYZEN
347,27-04-2019,RP-HR 7,Cash,ANDHRA,HARSHITHA HOME NEEDS,Travelling Cash Harnatha reddy,"5,000.00",SKYZEN
348,29-04-2019,RBR-P 248,Cheques,ANDHRA,SRM ELECTRONICS NANDYAL,HDFC BANK OD 0425,"20,000.00",SKYZEN
349,29-04-2019,RBR-P 249,Cheques,TELANGANA,VASAVI TIME VISION,HDFC BANK OD 0425,"40,000.00",SKYZEN
350,29-04-2019,RBR-P 250,Cheques,ANDHRA,SUREN ELECTRONICS AND HOME NEEDS,HDFC BANK OD 0425,"15,000.00",SKYZEN
351,29-04-2019,RBR-P 251,Cheques,TELANGANA,NAGA SAI HOME APPLIANCE,HDFC BANK OD 0425,"25,000.00",SKYZEN
352,29-04-2019,RBR-P 252,Cheques,TELANGANA,VASAVI TIME VISION,HDFC BANK OD 0425,"40,000.00",SKYZEN
353,29-04-2019,RBR-P 253,Cheques,ANDHRA,RAYALASEEMA AGENCIES,HDFC BANK OD 0425,"100,000.00",SKYZEN
354,29-04-2019,RBR-P 254,Cheques,TELANGANA,RS ENTERPRISES,HDFC BANK OD 0425,"500,000.00",SKYZEN
355,29-04-2019,RBR-P 255,Cheques,ANDHRA,R R ELECTRONICS,HDFC BANK OD 0425,"82,500.00",SKYZEN
356,29-04-2019,RBR-P 256,Cheques,TELANGANA,SRI RANGA ELECTRONICS,HDFC BANK OD 0425,"55,186.00",SKYZEN
357,29-04-2019,RBR-P 257,Cheques,ANDHRA,RK DIGITAL SHOPPY,HDFC BANK OD 0425,"50,000.00",SKYZEN
358,29-04-2019,RBR-P 258,Cheques,ANDHRA,GEMINI ELECTRONICS COMPANY,HDFC BANK OD 0425,"300,000.00",SKYZEN
359,29-04-2019,RBR-P 259,Cheques,ANDHRA,TEJA MOBILE WORLD,HDFC BANK OD 0425,"92,000.00",CVCRM
360,29-04-2019,RBR-P 260,Cheques,ANDHRA,RISHI ENTERPRISES,HDFC BANK OD 0425,"100,000.00",SKYZEN
361,29-04-2019,RBR-P 261,Cheques,ANDHRA,SRI VINAYAKA ELECTRONICS,HDFC BANK OD 0425,"360,000.00",SKYZEN
362,29-04-2019,RBR-P 262,Cheques,ANDHRA,SONY ELECTRONICS,HDFC BANK OD 0425,"24,994.10",SKYZEN
363,29-04-2019,RBR-P 263,Cheques,ANDHRA,GUPTA ENTERPRISES,HDFC BANK OD 0425,"50,000.00",SKYZEN
364,29-04-2019,RBR-P 264,Cheques,ANDHRA,SIVA METAL & HOME NEEDS,HDFC BANK OD 0425,"30,000.00",SKYZEN
365,29-04-2019,RBR-P 265,Cheques,ANDHRA,SRI SURYA SONOVISION FURNITURE &ELECTRONICS,HDFC BANK OD 0425,"18,000.00",CVCRM
366,29-04-2019,RBR-P 266,Cheques,TELANGANA,CHENNAI STEEL AND HOME APPLIANCIES,HDFC BANK OD 0425,"19,800.00",SKYZEN
367,30-04-2019,RBR-P 267,Cheques,ANDHRA,VK ENTERPRISES,HDFC BANK OD 0425,"200,000.00",SKYZEN
368,30-04-2019,RBR-P 268,Cheques,ANDHRA,LAASYA SRI ENTERPRISES,HDFC BANK OD 0425,"75,000.00",SKYZEN
369,30-04-2019,RBR-P 269,Cheques,TELANGANA,NAGA SAI HOME APPLIANCE,HDFC BANK OD 0425,"23,852.00",SKYZEN
370,30-04-2019,RBR-P 270,Cheques,ANDHRA,SRI MANIKANTA HOME NEEDS,HDFC BANK OD 0425,"20,000.00",SKYZEN
371,30-04-2019,RBR-P 271,Cheques,ANDHRA,SIVA KUMAR REDDY.P,HDFC BANK OD 0425,"8,693.00",SKYZEN
372,30-04-2019,RBR-P 272,Cheques,ANDHRA,JAYA SEKHAR REDDY.J,HDFC BANK OD 0425,"8,707.00",SKYZEN
373,30-04-2019,RBR-P 273,Cheques,ANDHRA,RK DIGITAL SHOPPY,HDFC BANK OD 0425,"50,000.00",SKYZEN
374,30-04-2019,RBR-P 274,Cheques,ANDHRA,RK DIGITAL SHOPPY,HDFC BANK OD 0425,"50,000.00",SKYZEN
375,30-04-2019,RBR-P 275,Cheques,TELANGANA,ACN DIGITAL SHOPPE,HDFC BANK OD 0425,"400,000.00",SKYZEN
