SNo,Master,Short,Stock Management Unit,AlternateSMU,Status,Node,Master Group,Master Node1,Category1,Category2,Category3,Cost1,Cost2,Cost3
175,MOUNTING MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
176,SMALL PARTS MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
177,SUPPORT MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
178,SWITCH PIECE MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
179,TOP MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,180,180,180
180,V-LOUVER LINK1 MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,210,210,210
181,V-LOUVER LINK2 MOULD,,Nos,,Active,JY MO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,JY MO PRODUCTS,,210,210,210
182,KEN AUSTER XW,CL-KCGAXF2W,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
183,KEN COOLBLASTER-TRL,CB,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
184,KEN COOLER TROLLY,CL-KCMPTW12-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
185,KEN CYCLONE REMOTE,CL-KCCCRF1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
186,KEN CYCLONE SUPER,CL-KCCCSF1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
187,KEN DOUBLE COOL,CL-KCGDCF2W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
188,KEN GLAM 22 L,22L GLAM,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
189,KEN GLAM 35 L,GLAM 35 L,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
190,KEN HERCULES REMOTE,,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
191,KEN ICE COOL,ICE COOL,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
192,KEN ICE COOL REMOTE,CL-KCIIRF1H-FMA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
193,KEN ICE TOWER,ICE TOWER,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
194,KEN JET COOL,JET COOL,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
195,KEN JET COOL REMOTE,JET COOL R,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
196,KEN LITTLE 35,LITTLE 35,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
197,KEN LITTLE DX,LITTLE DX,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
198,KEN LITTLE REMOTE,CL-KCJLRF3H-EBA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
199,KEN MAXOCOOL,,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
200,KEN MDF STANDEE,STANDS,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
201,KEN MULTI COOL,MULTI COOL,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
202,KEN SLIMLINE,SLIMLINE,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
203,KEN SLIMLINE SUPER REMOTE,CL-KCESRF1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
204,KEN TURBOCOOL DX,CL-KCATCW1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
205,KEN TURBOCOOL DX REMOTE,CL-KCATRF1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
206,KEN TURBOCOOL SUPER,CL-KCBTSF1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,210,210,210
207,KEN VIBRANT,KEN VIB COOLER,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,250,250,250
208,KEN WHEELS,,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,250,250,250
209,KEN WONDER COOL,WONDER COOLER,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,250,250,250
210,KEN WONDER COOL SUPER,CL-KCBWTF1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,250,250,250
211,KEN WONDERCOOL REMOTE,CL-KCAWRF1W-FCA,Nos,,Active,KENSTAR COOLERS,Products,All Products,KENSTAR PRODUCTS,KENSTAR COOLERS,,250,250,250
212,HITACHI AC 518 HWDD,518 HWDD,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
213,KHA 25L HI LIFE WATER GEASER,25L HI LIFE WATER,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
214,KHA 50L HI CHILL,,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
215,KHA 50L HI CHILL COOLER,KHA 50L HI,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
216,KHA HI LIFE WATER GEASER,HI LIFE,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
217,KHA15L HI LIFE GEYSER,15 L HI LIFE,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
218,VID WM 572 H 12 GRACIA PLUS,572 GRACIA PLUS,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
219,WP WM 360 WORLD SERIES,360 WORLD,Nos,,Active,KHAITHAN COOLERS,Products,All Products,KHAITAN PRODUCTS,KHAITHAN COOLERS,,250,250,250
220,KUNSTOCHILL -LX WITH REMOTE,K CHILL-LX R,Nos,,Active,KUNSTOCOM COOLER,Products,All Products,KUNSTOCOM COOLERS,KUNSTOCOM COOLER,,250,250,250
221,KUNSTOCHILL-DX,K CHILL-DX,Nos,,Active,KUNSTOCOM COOLER,Products,All Products,KUNSTOCOM COOLERS,KUNSTOCOM COOLER,,250,250,250
222,KUNSTOCHILL-LX,K CHILL-LX,Nos,,Active,KUNSTOCOM COOLER,Products,All Products,KUNSTOCOM COOLERS,KUNSTOCOM COOLER,,250,250,250
223,KUNSTOCOOL-DX,K COOL-DX,Nos,,Active,KUNSTOCOM COOLER,Products,All Products,KUNSTOCOM COOLERS,KUNSTOCOM COOLER,,250,250,250
224,KUNSTOCOOL-LX,K COOL-LX,Nos,,Active,KUNSTOCOM COOLER,Products,All Products,KUNSTOCOM COOLERS,KUNSTOCOM COOLER,,250,250,250
225,3.00 MM CORD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
226,3.50 MM CORD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
227,4.00 MM CORD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
228,4.50 MM CORD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
229,5.00 MM CORD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
230,5.50 MM CORD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
231,6.00 MM CORD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
232,ALLOY STEEL,,Kg,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
233,PLASTIC SCREW AND SNAP MOULD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,250,250,250
234,SWITCH PLATE MOULD,,Nos,,Active,MOULD SPARES,Products,All Products,ADJ PRODUCTS,MOULD SPARES,,300,300,300
235,EVAPORATIVE AIR COOLER PLASTIC PARTS,,Kg,,InActive,NINGBO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,NINGBO PRODUCTS,,300,300,300
236,EVAPORATIVE AIR COOLER PLASTIC PARTS-SETS,,Nos,,Active,NINGBO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,NINGBO PRODUCTS,,300,300,300
237,HONEY COMB 720*340*38,,Nos,,Active,NINGBO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,NINGBO PRODUCTS,,300,300,300
238,HONEY COMB 720*500*38,,Nos,,Active,NINGBO PRODUCTS,Products,All Products,IMPORTED PRODUCTS,NINGBO PRODUCTS,,300,300,300
239,AMAZON INSTANT TEA PREMIX CARDAMON,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
240,ANCHOR 230 mm MINEO PERSONAL FAN,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
241,BEETEL C 51,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
242,BG 4300 MODEM,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
243,DELL 18.5 LED D1918H MONITER,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
244,DELL 1916 HV LED MONITER,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
245,DELL HDMI 18.5 MONITOR,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
246,DELL VASTRO 3470-13/4GB/1TB/DOS/18.5,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
247,DLINK WL ROUTER N300 DIR 615L,QXCU2J5009493,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
248,DP BOX 50 PAIR,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
249,EPSON L565AIO PRINTER,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
250,EPSON M200 INK BLACK,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
251,EPSON M-200 PRINTER,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
252,H2240N3,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
253,HAVELLS 400 mm SAMERA WALL FAN,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
254,INSTALATION CHARGES,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
255,IRON STEEL SHEET,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
256,LOGITECH MK200 COMBO KEYBOARD,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
257,LOGITECH WL COMBO 275,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
258,MAFATLAL SNO CT 14,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
259,MATRIX EON 510,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
260,MATRIX ETERNITY PE 6SP,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
261,MEMBRANE SWITCH CAFE PLUS,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
262,MS ERW TUBES,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
263,N COMPUTING L 250,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
264,ONE PLUS 7T GLACIER BLUE 8GB+256GB IN HD1901 PHONE,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,300,300,300
265,PANASONIC KX-TSC 62 SX,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,450,450,450
266,PAPERLINE A/4,,Nos,,Active,NON TRADING PRODUCTS,Products,All Products,ADJ PRODUCTS,NON TRADING PRODUCTS,,450,450,450
267,450MM STRETCH FILM,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
268,Aqua Blue  Sticker Sheets,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
269,BARCODE SCANNER,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
270,Honey Comb Blue  Sticker Sheets,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
271,Honey Comb Brown Sticker Sheets,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
272,"HP PROFESSIONAL BAG 16""",,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
273,HP15-DA 0352 TULAPTOP,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
274,Kethan pvc Sticker Sheets,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
275,LCD Remote Model Sheets,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
276,Remote Mdel  Sticker Sheets,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
277,SANSUI LED 50 SMC FH16XAF,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
278,Silver Grey Stickers,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
279,Weather Brown WBN  Sticker Sheets,,Nos,,Active,OTHER PRODUCTS,Products,All Products,ADJ PRODUCTS,OTHER PRODUCTS,,450,450,450
280,A,,Nos,,InActive,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,450,450,450
281,AA,,Nos,,InActive,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,450,450,450
282,AUTO SWING KNOB,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,450,450,450
283,BACK PANEL,BACK OUTER FRAME,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,450,450,450
284,BLADE  16 AL REVERSE,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,450,450,450
285,BLADE 16 AL FORWARD,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,450,450,450
286,BLADE 16 PL,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
287,BLADE 18 AL REV SMART/THUNDER,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
288,BLADE 18 CHINA (SILENT 6300),,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
289,CABLE TIE 100 MM,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
290,CABLE TIE 150 MM,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
291,CABLE TIE 200 MM,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
292,CABLE TIE 250 MM,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
293,CLAMP 360 MM( SMART/CVCRM),,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
294,CLAMP 380 MM ( THUNDER),,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
295,CUTE FAN BLADE,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
296,CUTE PUMP MOTOR,PUMP MOTOR CUTE,Nos,,Active,SKY PUMP MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,SKY PUMP MOTORS,550,550,550
297,CYLENDEER,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
298,ELECTRICAL GUN,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
299,FAN BRACKET - 360,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,550,550,550
300,FLOAT VALUE,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
301,FLOT WALL,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
302,FLOWER DESIGN STICKERS,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
303,FRONT PANEL,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
304,HIPPO H LOUVER FIXER,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
305,HIPPO H LOUVERS SET,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
306,HIPPO MMS,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
307,HIPPO SUPPORT STRIPS,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
308,HIPPO V SUPPORTS STRIP,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
309,HONEY COMB 630*550*305,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
310,HONEY COMB 640*500*300,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
311,HONEY COMB 720*500*340,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
312,HONEY COMB BLUE SMART,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
313,HONEY COMB BLUE VIBRANT,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
314,HONEY COMB BROWN VIBRANT,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
315,HONEY COMB GREY CUTE,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
316,HONEY COMB GREY SMART,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
317,HONEY COMB GREY VIBRANT,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
318,INVERTOR BOARD,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
319,INVERTOR MIAN MOTOR,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,80,80,80
320,M AIR FLY REMOTE CONTROL,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
321,"M MAIN BOARD FOR 23.6""",,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
322,"M MAIN BOARD FOR 24"" SMART",,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
323,"M MAIN BOARD FOR 32"" NORMAL",,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
324,MAINS CARD SKYZEN,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
325,MINICUTE MMS,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
326,MS BOLT,,Kg,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
327,PCB BOARD,,Kg,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
328,REMOTE,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
329,REMOTE INTERFACE,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
330,REMOTE PCB 8 SEGMENT,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
331,REMOTE PCB BLUE TOOTH,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
332,REMOTE PCB CUTE/ECO,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
333,REMOTE PCB LCD,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
334,REMOTE PCB USB,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
335,REMOTE PCB VIBRANT,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,90,90,90
336,SARA PUMP MOTOR,PUMP MOTOR SARA,Nos,,Active,SKY PUMP MOTORS,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,SKY PUMP MOTORS,90,90,90
337,SCREW BITS,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
338,SELTOS HONEYCOMB,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
339,SIDE PANEL,SIDE OUTER FRAME,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
340,SKY DRAIN PLUG,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
341,SKYZEN EPS,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
342,SMART HONEY COMB,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
343,SMILE BLOWER B120,SMILE BLOWER (B120MA+GF),Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
344,SMILE DECO STRIP,,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
345,SMILE H LOWER SET,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
346,SMILE H LOWER SET (8 Cavity),,Nos,,Active,SKY COOLER SPARES,Products,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
347,SMILE MMS,,Nos,,Active,SKY COOLER SPARES,SERVICE SPARES,All Products,SERVICING SPARES,SKY COOLER SPARES,,120,120,120
