SNo,Date,Voucher No,Branch,Party,Purchase Account,Product,Net Amount,Division
177,15-04-2019,PV-H 7,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M32,"2,433,750.00",SKYZEN
178,15-04-2019,PV-H 7,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M32M,"137,529.00",SKYZEN
179,15-04-2019,PV-H 7,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M32S,"934,560.00",SKYZEN
180,15-04-2019,PV-H 7,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,SKYZEN LED M32SM,"436,305.00",SKYZEN
181,15-04-2019,PV-H 7,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 18% Items,FRIEGHT INWARD,"61,514.75",SERVICE
182,15-04-2019,PV-H 7,TELANGANA,Malhotra Electronics Pvt Ltd,,,0.25,SKYZEN
183,15-04-2019,PV-H 8,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 28% Items,SKYZEN LED M42,"244,992.00",SKYZEN
184,15-04-2019,PV-H 8,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 28% Items,SKYZEN LED M42S,"1,064,960.00",SKYZEN
185,15-04-2019,PV-H 8,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 28% Items,SKYZEN LED M50S(V51S),"354,304.00",SKYZEN
186,15-04-2019,PV-H 8,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 28% Items,SKYZEN LED M55S,"110,080.00",SKYZEN
187,15-04-2019,PV-H 8,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 28% Items,SKYZEN LED M65S,"147,840.00",SKYZEN
188,15-04-2019,PV-H 8,TELANGANA,Malhotra Electronics Pvt Ltd,Purchase of 28% Items,FRIEGHT INWARD,"21,592.25",SERVICE
189,15-04-2019,PV-H 8,TELANGANA,Malhotra Electronics Pvt Ltd,,,-0.25,SKYZEN
190,15-04-2019,PV-ONG 53,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"16,992.00",CVCRM
191,15-04-2019,PV-ONG 53,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"17,346.00",CVCRM
192,15-04-2019,PV-ONG 54,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"33,228.80",CVCRM
193,15-04-2019,PV-ONG 54,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
194,15-04-2019,PV-ONG 55,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"16,992.00",CVCRM
195,15-04-2019,PV-ONG 55,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"5,782.00",CVCRM
196,15-04-2019,PV-ONG 56,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"33,228.80",CVCRM
197,15-04-2019,PV-ONG 56,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
198,15-04-2019,PV-ONG 57,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"11,564.00",CVCRM
199,15-04-2019,PV-ONG 58,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18ALH,"286,043.80",SKYZEN
200,15-04-2019,PV-ONG 58,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
201,15-04-2019,PV-ONG 59,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL WHITE AIR COOLER,"138,355.00",CVCRM
202,16-04-2019,PV-ONG 60,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER PLASTIC BODYS,"31,057.60",CVCRM
203,16-04-2019,PV-ONG 60,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.40,SKYZEN
204,16-04-2019,PV-ONG 61,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"22,656.00",CVCRM
205,16-04-2019,PV-ONG 61,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL WHITE AIR COOLER,"118,590.00",CVCRM
206,16-04-2019,PV-ONG 62,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CD 120 COMMON MOTOR,"9,647.68",SERVICE
207,16-04-2019,PV-ONG 62,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,BLADE 16 PL,"2,232.56",SERVICE
208,16-04-2019,PV-ONG 62,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY DRAIN PLUG,35.40,SERVICE
209,16-04-2019,PV-ONG 62,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.36,SKYZEN
210,16-04-2019,PV-ONG 63,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"33,228.80",CVCRM
211,16-04-2019,PV-ONG 63,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
212,17-04-2019,PV-ONG 64,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"3,453.86",SKYZEN
213,17-04-2019,PV-ONG 64,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,414.18,SKYZEN
214,17-04-2019,PV-ONG 64,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"1,445.50",CVCRM
215,17-04-2019,PV-ONG 64,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18AL,"4,669.26",SKYZEN
216,17-04-2019,PV-ONG 64,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
217,17-04-2019,PV-ONG 65,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"33,228.80",CVCRM
218,17-04-2019,PV-ONG 65,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
219,17-04-2019,PV-ONG 66,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,BLADE 16 PL,"1,534.00",SERVICE
220,17-04-2019,PV-ONG 66,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CS 002 H BLOWER,739.86,SERVICE
221,17-04-2019,PV-ONG 66,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.14,SKYZEN
222,17-04-2019,PV-ONG 67,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"28,910.00",CVCRM
223,17-04-2019,PV-ONG 67,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"135,464.00",SKYZEN
224,17-04-2019,PV-ONG 67,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"42,291.20",CVCRM
225,17-04-2019,PV-ONG 67,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.20,SKYZEN
226,17-04-2019,PV-ONG 68,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,BLADE 16 PL,"1,917.50",SERVICE
227,17-04-2019,PV-ONG 68,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,WHEELS SKYZEN,"1,445.50",SERVICE
228,17-04-2019,PV-ONG 69,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Hippo Chill 4500,"4,576.04",SKYZEN
229,17-04-2019,PV-ONG 69,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"4,481.64",SKYZEN
230,17-04-2019,PV-ONG 69,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"4,042.68",SKYZEN
231,17-04-2019,PV-ONG 69,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.36,SKYZEN
232,17-04-2019,PV-V 10,ANDHRA,SRIKANTH TRADERS,Purchase of 18% Items,SYM DIAMOND 61DB WITH TROLLEY,"183,490.00",SYMPHONY
233,17-04-2019,PV-V 10,ANDHRA,SRIKANTH TRADERS,Purchase of 18% Items,SYM DIAMOND 61i WITH TROLLEY,"190,499.20",SYMPHONY
234,17-04-2019,PV-V 10,ANDHRA,SRIKANTH TRADERS,Purchase of 18% Items,SYM DIAMOND 41i WITH TROLLEY,"146,980.80",SYMPHONY
235,18-04-2019,PV-H 11,TELANGANA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 12% Items,CORRUGATED BOXES,"3,920.00",SKYZEN
236,18-04-2019,PV-H 9,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY WASHER SZ 802,"540,000.00",SKYZEN
237,18-04-2019,PV-H 9,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Smart Cool INV-R-H+USB,"180,000.00",SKYZEN
238,18-04-2019,PV-H 9,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Smart Cool 18ALH,"50,000.00",SKYZEN
239,18-04-2019,PV-H 9,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY Vibrant 18AL/HPL -H,"25,000.00",SKYZEN
240,18-04-2019,PV-H 9,TELANGANA,SAI TEJA INDO PLAST OGL,Purchase of 18% Items,SKY SEMI WM SD 75P,"40,500.00",SKYZEN
241,18-04-2019,PV-ONG 70,ANDHRA,CANCEL DEALER,Purchase of 18% Items,CANCEL PRODUCT,0.01,SERVICE
242,18-04-2019,PV-ONG 70,ANDHRA,CANCEL DEALER,,,-0.01,SKYZEN
243,18-04-2019,PV-ONG 71,ANDHRA,CANCEL DEALER,Purchase of 18% Items,CANCEL PRODUCT,0.01,SERVICE
244,18-04-2019,PV-ONG 71,ANDHRA,CANCEL DEALER,,,-0.01,SKYZEN
245,18-04-2019,PV-ONG 72,ANDHRA,CANCEL DEALER,Purchase of 18% Items,CANCEL PRODUCT,0.01,SERVICE
246,18-04-2019,PV-ONG 72,ANDHRA,CANCEL DEALER,,,-0.01,SKYZEN
247,18-04-2019,PV-ONG 73,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"270,928.00",SKYZEN
248,18-04-2019,PV-ONG 74,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18AL,"70,038.90",SKYZEN
249,18-04-2019,PV-ONG 74,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"135,464.00",SKYZEN
250,18-04-2019,PV-ONG 74,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.10,SKYZEN
251,18-04-2019,PV-ONG 75,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"135,464.00",SKYZEN
252,18-04-2019,PV-ONG 76,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18AL,"42,023.34",SKYZEN
253,18-04-2019,PV-ONG 76,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.34,SKYZEN
254,18-04-2019,PV-ONG 77,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"2,891.00",CVCRM
255,18-04-2019,PV-ONG 78,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"6,041.60",CVCRM
256,18-04-2019,PV-ONG 78,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.40,SKYZEN
257,18-04-2019,PV-V 11,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 28% Items,SKYZEN LED M42,"224,000.00",SKYZEN
258,18-04-2019,PV-V 12,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED VQ32,"181,650.00",SKYZEN
259,18-04-2019,PV-V 5,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED M24D,"480,000.00",SKYZEN
260,18-04-2019,PV-V 5,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED M32,"1,306,500.00",SKYZEN
261,18-04-2019,PV-V 5,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED M32M,"99,000.00",SKYZEN
262,18-04-2019,PV-V 5,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED M32S,"596,850.00",SKYZEN
263,18-04-2019,PV-V 5,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 18% Items,SKYZEN LED M32SM,"339,300.00",SKYZEN
264,18-04-2019,PV-V 6,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 28% Items,SKYZEN LED M42S,"667,500.00",SKYZEN
265,18-04-2019,PV-V 6,ANDHRA,SAI TEJA INDO PLAST HYD,Purchase of 28% Items,SKYZEN LED M50S(V51S),"222,000.00",SKYZEN
266,19-04-2019,PV-ONG 79,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"507,990.00",SKYZEN
267,19-04-2019,PV-ONG 80,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"110,523.52",SKYZEN
268,19-04-2019,PV-ONG 80,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.48,SKYZEN
269,19-04-2019,PV-ONG 81,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER PLASTIC BODYS,"93,172.80",CVCRM
270,19-04-2019,PV-ONG 81,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
271,19-04-2019,PV-ONG 82,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"151,969.84",SKYZEN
272,19-04-2019,PV-ONG 82,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,"2,899.26",SKYZEN
273,19-04-2019,PV-ONG 82,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.10,SKYZEN
274,19-04-2019,PV-ONG 83,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"345,386.00",SKYZEN
275,19-04-2019,PV-V 7,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"338,660.00",SKYZEN
276,19-04-2019,PV-V 8,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CVCRM TANK,"1,274.40",CVCRM
277,19-04-2019,PV-V 8,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
278,19-04-2019,PV-V 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CVCRM TANK,920.40,CVCRM
279,19-04-2019,PV-V 9,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
280,20-04-2019,PV-ONG 84,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"62,169.48",SKYZEN
281,20-04-2019,PV-ONG 84,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"135,464.00",SKYZEN
282,20-04-2019,PV-ONG 84,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.48,SKYZEN
283,20-04-2019,PV-ONG 85,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"117,431.24",SKYZEN
284,20-04-2019,PV-ONG 85,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY WASHER SZ 802,"179,489.80",SKYZEN
285,20-04-2019,PV-ONG 85,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.04,SKYZEN
286,20-04-2019,PV-ONG 86,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER PLASTIC BODYS,"54,350.80",CVCRM
287,20-04-2019,PV-ONG 86,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
288,20-04-2019,PV-ONG 87,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18ALH,"5,118.84",SKYZEN
289,20-04-2019,PV-ONG 87,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.16,SKYZEN
290,20-04-2019,PV-ONG 88,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"5,664.00",CVCRM
291,20-04-2019,PV-ONG 88,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"10,118.50",CVCRM
292,20-04-2019,PV-ONG 88,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"186,508.44",SKYZEN
293,20-04-2019,PV-ONG 88,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.06,SKYZEN
294,20-04-2019,PV-ONG 89,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smart Cool 18AL,"9,338.52",SKYZEN
295,20-04-2019,PV-ONG 89,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.48,SKYZEN
296,20-04-2019,PV-ONG 90,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,TYPHOON AIR WHITE COOLER,"42,834.00",CVCRM
297,20-04-2019,PV-P 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER PLASTIC BODYS,"19,847.60",CVCRM
298,20-04-2019,PV-P 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,AIRCOOLER PLASTIC BODYS,"76,369.60",CVCRM
299,20-04-2019,PV-P 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,CVCRM TANK,"2,336.40",CVCRM
300,20-04-2019,PV-P 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SWITCH SGI 3 POLE,"1,416.00",SERVICE
301,20-04-2019,PV-P 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SWITCH SGI 4 POLE,"1,534.00",SERVICE
302,20-04-2019,PV-P 2,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.40,SKYZEN
303,22-04-2019,PV-H 10,TELANGANA,THE VENDING COMPANY,Purchase of 18% Items,SKY WATER DIS 21B FSR,"778,800.00",SKYZEN
304,22-04-2019,PV-ONG 91,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"134,700.54",SKYZEN
305,22-04-2019,PV-ONG 91,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"137,975.04",SKYZEN
306,22-04-2019,PV-ONG 91,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,"16,153.02",SKYZEN
307,22-04-2019,PV-ONG 91,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Mini Cute Trolley,"13,848.48",SKYZEN
308,22-04-2019,PV-ONG 91,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.08,SKYZEN
309,22-04-2019,PV-P 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Mini Cute Trolley,"3,846.80",SKYZEN
310,22-04-2019,PV-P 3,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
311,23-04-2019,PV-ONG 92,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Hippo Chill 4500,"82,368.72",SKYZEN
312,23-04-2019,PV-ONG 92,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"143,412.48",SKYZEN
313,23-04-2019,PV-ONG 92,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.20,SKYZEN
314,23-04-2019,PV-ONG 93,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,"56,132.60",SKYZEN
315,23-04-2019,PV-ONG 93,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.40,SKYZEN
316,23-04-2019,PV-ONG 94,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Hippo Chill 4500,"59,488.52",SKYZEN
317,23-04-2019,PV-ONG 94,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Thunder Cool 18AL,"31,371.48",SKYZEN
318,23-04-2019,PV-ONG 94,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"105,109.68",SKYZEN
319,23-04-2019,PV-ONG 94,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"96,708.08",SKYZEN
320,23-04-2019,PV-ONG 94,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.24,SKYZEN
321,23-04-2019,PV-ONG 95,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"310,847.40",SKYZEN
322,23-04-2019,PV-ONG 95,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
323,23-04-2019,PV-ONG 96,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Mini Cute Trolley,"45,776.92",SKYZEN
324,23-04-2019,PV-ONG 96,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.08,SKYZEN
325,23-04-2019,PV-V 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,"87,969.00",SKYZEN
326,23-04-2019,PV-V 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Mini Cute Trolley,"20,100.12",SKYZEN
327,23-04-2019,PV-V 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"195,464.64",SKYZEN
328,23-04-2019,PV-V 13,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.24,SKYZEN
329,23-04-2019,PV-V 14,ANDHRA,COMMUNICATION SYSTEM INC,Purchase of 18% Items,SKYZEN LED H3218N,"19,647.00",SKYZEN
330,24-04-2019,PV-ONG 97,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,FRES SMILE,"310,847.40",SKYZEN
331,24-04-2019,PV-ONG 97,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
332,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 3MM,118.00,SKYZEN
333,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 3.50 MM,165.20,SKYZEN
334,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 4MM,212.40,SKYZEN
335,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 4.50MM,271.40,SKYZEN
336,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 5MM,330.40,SKYZEN
337,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 5.50MM,401.20,SKYZEN
338,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 6MM,472.00,SKYZEN
339,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,Purchase of 18% Items,CORD 70 SILICON 3.50 MM,424.80,SKYZEN
340,24-04-2019,PV-P 4,ANDHRA,ISG ELASTOMERS,,,-0.40,SKYZEN
341,25-04-2019,PV-ONG 100,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY Smile Blower,"310,847.40",SKYZEN
342,25-04-2019,PV-ONG 100,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SKY MINI CUTE,"38,326.40",SKYZEN
343,25-04-2019,PV-ONG 100,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,"37,276.20",SKYZEN
344,25-04-2019,PV-ONG 100,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Mini Cute Trolley,"3,846.80",SKYZEN
345,25-04-2019,PV-ONG 100,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
346,25-04-2019,PV-ONG 101,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,STORM AIR COOLER,"93,456.00",CVCRM
347,25-04-2019,PV-ONG 101,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI AIR COOLER,"20,237.00",CVCRM
348,25-04-2019,PV-ONG 102,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,"82,836.00",SKYZEN
349,25-04-2019,PV-ONG 103,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,Smile Trolly,"12,425.40",SKYZEN
350,25-04-2019,PV-ONG 103,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,-0.40,SKYZEN
351,25-04-2019,PV-ONG 104,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SAFARI WHITE AIR COOLER,"33,228.80",CVCRM
352,25-04-2019,PV-ONG 104,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,,,0.20,SKYZEN
353,25-04-2019,PV-ONG 105,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL WHITE AIR COOLER,"5,929.50",CVCRM
354,25-04-2019,PV-ONG 105,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,SNOW COOL AIR COOLER,"1,917.50",CVCRM
355,25-04-2019,PV-ONG 105,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 18% Items,TYPHOON AIR COOLER,"5,664.00",CVCRM
356,25-04-2019,PV-ONG 106,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 12% Items,WOOD WOOL GENERAL,"16,800.00",SERVICE
357,25-04-2019,PV-ONG 106,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 12% Items,CORRUGATED BOXES,"2,352.00",SKYZEN
358,25-04-2019,PV-ONG 106,ANDHRA,NANO POLYMERS INDIA PVT LIMITED,Purchase of 12% Items,PUMP MOTOR,420.00,CVCRM
